source sentence, target sentence
je vais essayer. , i m going to try.
il lave votre voiture. , he s washing your car.
vous tes idiotes. , you re silly.
je crains que tom ne se perde. , i m afraid tom will get lost.
je suis une personne tr s prudente. , i m a very careful person.
vous tes givr e! , you re nuts!
je ne vais pas aller l dedans. , i m not going to go in there.
je suis toujours mari. , i m still married.
vous allez gagner aujourd hui. , you re going to win today.
je suis d accord avec cette proposition. , i am in favor of the proposition.
elle est sur le point de partir. , she is about to leave.
je viens d gypte. , i am from egypt.
elle commence m agacer! , she s starting to annoy me.
je ne suis pas actuellement arm. , i m now unarmed.
je ne suis pas malheureuse. , i m not miserable.
je suis certain d avoir ferm le gaz. , i m sure i turned off the gas.
elle pluche des pommes de terre. , she is peeling the potatoes.
je suis rassasi! , i m full.
elle travaille nuit et jour. , she is working night and day.
elle s est mise parler un tranger. , she started talking with a stranger.
vous tes probablement fatigu es. , you re probably tired.
il tudie. , he s studying.
je vous dit juste la v rit. , i m just telling you the truth.
je ne suis pas surprise d entendre cela. , i m not surprised to hear that.
je suis trop petit. , i am too short.
tu es tellement gentille! , you re so sweet.
je suis vivant. , i m alive.
t es un gars marrant. , you re a funny guy.
je suis grassouillet. , i m chubby.
je ne trouve pas les mots. , i m speechless.
vous faites l objet d une enqu te. , you re under investigation.
je ne reste pas. , i m not staying.
tu n es pas encore adolescente. , you re not a teenager yet.
tu abuses de ton autorit. , you are abusing your authority.
elle le r primanda pour son retard. , she scolded him for being late.
je n en suis pas s re. , i m not sure about that.
vous tes fort occup es. , you re very busy.
il est encore assis sur le banc. , he is still sitting on the bench.
elle dit qu elle est esseul e. , she says that she s lonely.
elle a arr t notre dispute. , she stopped our fighting.
tu es idiote. , you re stupid.
il est capable de nager tr s vite. , he is able to swim very fast.
vous tes minces. , you re thin.
vous tes tous hypocrites. , you re all hypocritical.
vous tes un sacr coco. , you re a jolly good feller.
elle va avoir un b b. , she s going to have a baby.
je m int resse la natation. , i am interested in swimming.
vous tes lunatique. , you re temperamental.
je suis inquiet pour ta sant. , i am anxious about your health.
elle s en sort tr s bien. , she s getting on all right.
elle devrait aider sa m re. , she should help her mother.
elle est bien connue en tant que chanteuse. , she s well known as a singer.
maintenant il court. , he is running now.
ta chance est puis e. , you re out of luck.
il est en danger. , he s in danger.
il n est pas si grand. , he is not so tall.
tu es d sormais un adulte. , you are now an adult.
je ne le fais plus. , i m not doing it anymore.
je ne fais rien de diff rent. , i m not doing anything different.
il est tr s protecteur. , he s very protective.
tu en es en partie responsable. , you are in part responsible for it.
il est en chemin. , he s on his way.
je suis s re que tom serait ravi. , i m sure tom would be delighted.
je suis musicienne. , i m a musician.
je suis s r que ceci peut attendre. , i m sure this can wait.
tu es tellement pr visible! , you re so predictable.
je suis heureux que le jeu soit fini. , i m happy the game is over.
tu es un danseur horrible. , you re a terrible dancer.
c est un sale menteur! , he s a filthy liar.
je suis en bons termes avec tom. , i m on speaking terms with tom.
vous tes difficile n est ce pas? , you re picky aren t you?
je ne me sens pas bien. , i m not feeling well.
je survis. , i m surviving.
je suis tudiant. , i am a college student.
je m int resse beaucoup au football. , i m really into football.
il se planque. , he s gone into hiding.
je suis ravi de te rencontrer. , i m delighted to meet you.
il ne s y rend pas. , he s not going.
je suis fid le. , i m faithful.
je suis heureux d accepter votre invitation. , i am glad to accept your invitation.
t a plus de bibine. , you re out of booze.
il est presque toujours chez lui. , he is almost always at home.
vous tes de retour. , you re back.
c est un bon mari pour moi. , he is a good husband to me.
je suis incroyablement fatigu. , i m incredibly tired.
vous tes vraiment tr s bons. , you are really very good.
tu as tort dans ce cas. , you re wrong in this case.
je suis assez heureuse. , i m quite happy.
je suis ambidextre. , i m ambidextrous.
j ai les crocs. , i am very hungry.
vous tes plein de ressources. , you re resourceful.
je crains que tu te perdes. , i am afraid that you will get lost.
elle est son propre pire ennemi. , she is her own worst enemy.
le bleu vous va tr s bien. , you are very attractive in blue.
elle est japonaise. , she is japanese.
je suis derri re lui. , i m behind him.
je ne suis pas ici pour affaires. , i m not here on business.
tu n es pas si malin. , you re not that smart.
elle essaie toujours de lui faire plaisir. , she is always trying to please him.
il m rite nos louanges. , he is worthy of our praise.
tu es bougon. , you re grumpy.
vous tes fort compr hensif. , you re very understanding.
vous tes fascinant. , you re fascinating.
vous me faites marcher. , you re pulling my leg.
tu es responsable de cet accident. , you are responsible for this accident.
je suis un pot au boulot. , i m at an office party.
tu dois faire comme je te dis. , you are to do as i tell you.
tu es mignonne dans ton genre. , you re kind of cute.
je lis une lettre. , i am reading a letter.
il est tr s d prim. , he is very depressed.
je ne suis pas trop fatigu. , i am not too tired.
il est devant la porte. , he is in front of the door.
je suis pr t! , i m ready!
je ne suis pas bon la nage. , i m not very good at swimming.
elle est forte. , she is strong.
tu es inoubliable. , you re unforgettable.
je suis tonn par ton attitude irresponsable. , i am alarmed by your irresponsible attitude.
je suis ravie que vous ayez pu venir. , i m glad you could make it.
vous tes un voleur. , you re a thief.
vous tes fort serviable. , you re very helpful.
je suis en train de prendre mon bain. , i m taking a bath.
vous tes fort l gants. , you re very sophisticated.
je suis le benjamin de la famille. , i m the youngest in the family.
j en ai tellement marre. , i m so sick of this.
je suis surpris que cette machine fonctionne encore. , i m surprised this machine still works.
elle est novice. , she is a beginner.
vous tes merveilleuse. , you re wonderful.
tu es idiot. , you re silly.
je ne m inqui te pas pour tom. , i m not worried about tom.
je n en suis pas trop convaincue. , i m not too convinced.
c est une blonde. , she s a dumb blonde.
on n est jamais trop vieux pour apprendre. , you re never too old to learn.
il est tout sauf honn te. , he is anything but honest.
je vais dire a tom. , i m going to tell tom that.
je suis heureux que tu l aies aim. , i m glad you liked it.
je suppose que c est votre p re. , i m assuming this is your father.
il porte des gants. , he is wearing gloves.
il est de loin le meilleur des tudiants. , he is by far the best student.
c est vous la ma tresse. , you re the master.
je pr vois de d m nager boston. , i m planning to move to boston.
je ne suis pas cr atif. , i m not creative.
je vis dans une petite commune. , i m living in a small town.
je travaille sur une nouvelle chanson. , i m working on a new song.
je suis disponible. , i m free.
elle est affair e comme une abeille. , she is as busy as a bee.
je suis un peu malade. , i m a little sick.
il est meilleur que moi en maths. , he is better than me at math.
je ne fais que regarder. , i m just looking around.
je ne suis pas anglaise. , i m not english.
elle n est pas confiante en l avenir. , she s not confident about the future.
je dors comme une pierre. , i m a sound sleeper.
ce n est pas moi le probl me. , i m not the problem.
j en ai marre des devoirs! , i m fed up with homework.
je suis beau. , i m beautiful.
vous tes dans la merde. , you re in big trouble.
il est trop vieux pour elle. , he s too old for her.
vous tes sur la liste. , you re on the list.
tu es en grand danger. , you re in grave danger.
vous tes pleine de ressources. , you re resourceful.
je suis terriblement d sol. , i m terribly sorry.
je ne suis pas votre ennemi. , i am not your enemy.
tu deviens rouge. , you re turning red.
elle semblait indiff rente. , she seemed uninterested.
vous tes fort occup. , you re very busy.
elle est vraiment une fille ravissante. , she s a real hottie.
d sol! , i m sorry.
tu es trop ivre pour conduire. , you re too drunk to drive.
vous tes saoul. , you re drunk.
vous tes plus grandes que moi. , you re taller than i am.
je ne suis pas pr te faire cela. , i m not ready to do that.
il est trop vieux. , he is too old.
je n ai plus faim. , i m no longer hungry.
elle d buta au sommet. , she started at the top.
je suis habitu conduire un camion. , i m used to driving a truck.
je deviens trop vieux pour a. , i m getting too old for this.
vous n interrompez rien du tout. , you re not interrupting anything.
c est toi l ing nieur. , you re the engineer.
je suis obstin e. , i m stubborn.
c est un homme simple. , he is a simple man.
je suis fid le envers ma femme. , i m faithful to my wife.
je suis satisfait. , i m satisfied.
j ai peur de voler. , i m afraid of flying.
il n est plus le bienvenu ici. , he is no longer welcome here.
je ne comprends rien. , i m not understanding anything.
j essaie d conomiser de l argent. , i m trying to save money.
je suis trop fatigu pour grimper. , i am too tired to climb.
je n ai pas faim maintenant. , i m not hungry right now.
elle passe la t l ce soir. , she is appearing on tv tonight.
il ne fait pas partie de notre groupe. , he s not in our group.
je ne me sens pas offens e. , i m not offended.
il se montre difficile avec moi. , he is giving me a hard time.
il n est pas revenu de la montagne. , he isn t back from the mountain.
on le dit d c d. , he is said to have died.
vous tes toutes pr tes. , you re all set.
il y joue. , he is playing there.
vous tes tr s motives. , you re very emotional.
je suis surpris que tom ait gagn. , i m surprised tom won.
vous n coutez pas! , you re not listening!
vous tes d go tant. , you re disgusting.
tu es cens te reposer. , you re supposed to be resting.
il est tr s compr hensif. , he s very understanding.
vous tes tr s contrari e. , you re very upset.
je suis ton amie. , i m your friend.
t es assez bon. , you re pretty good.
je suis content de pouvoir profiter des vacances. , i m thankful for vacations.
vous tes puissant. , you re powerful.
je ne suis pas si occup que a. , i m not all that busy.
je suis en train d arroser les fleurs. , i am watering the flowers.
je suis ravi e. , i m delighted.
je ne suis pas diff rente. , i m no different.
c est un type paresseux. , he is a lazy fellow.
il ne craint pas du tout les serpents. , he s not at all afraid of snakes.
tu es tr s dr le. , you re very funny.
vous tes responsables de ce que vous faites. , you are responsible for what you do.
tu es tranquille. , you re quiet.
c est toi le prisonnier. , you re the prisoner.
tu es bon. , you are good.
je ne suis pas troite d esprit. , i m not narrow minded.
je suis impatient de la prochaine fois. , i m looking forward to the next time.
je suis humble. , i m humble.
je ne suis vraiment pas occup. , i m really not busy.
j ai la baraka. , i m very fortunate.
vous n tes pas mari es si? , you re not married are you?
il est la maison aujourd hui. , he is at home today.
il a honte de son attitude. , he is ashamed of his behavior.
il souffre d amn sie. , he is suffering from loss of memory.
tu es trop tendu. , you re too tense.
vous tes plus grands qu elle. , you are taller than she is.
tu as vraiment beaucoup de chance. , you re very fortunate.
je ne suis pas occup e l instant. , i m not busy right now.
je suis galement heureuse. , i m happy too.
il n y excelle pas. , he s not very good at it.
vous tes curieuses hein? , you are curious aren t you?
je suis une nouvelle l ve. , i m a new student.
je travaille chez mcdonald s. , i m working for mcdonald s.
vous ne devez pas quitter cette pi ce. , you are not to leave this room.
tu es tr s l gant. , you re very sophisticated.
je suis plut t occup e. , i m rather busy.
j essaie de te parler. , i m trying to talk to you.
tu es impressionn pas vrai? , you re impressed aren t you?
j ai raison. , i m right.
je suis en train d attraper froid. , i am getting a cold.
je suis tout seul. , i m all by myself.
vous tes fort occup s. , you re very busy.
je pars en voyage d affaire. , i m going on a business trip.
d sol j ai perdu mon sang froid. , i m sorry i lost my temper.
vous tes un tra tre. , you re a traitor.
je ne suis pas d ici. , i m not from here.
je suis vraiment choqu. , i m really shocked.
il est exactement comme son grand p re. , he s just like his grandfather.
je suis observateur. , i m observant.
je ne crains pas de mourir. , i m not scared to die.
c est un bon gar on. , he s a good boy.
c est un membre du comit. , he is a member of the committee.
je m y habitue. , i m getting used to it.
je me d shabille. , i m getting undressed.
vous tes endormi. , you re sleepy.
vous tes trop bruyants. , you re too loud.
tu n es pas rationnelle. , you re not being rational.
ma patience est bout. , i am at the end of my patience.
t es mon type de gonzesse. , you re my kind of gal.
je suis aveugle. , i m blind.
je ne suis plus ce que j tais. , i m not what i used to be.
vous n tes pas les seuls canadiens ici. , you re not the only canadian here.
je ne suis pas intimid e. , i m not intimidated.
je vais rentrer chez moi demain. , i m going back home tomorrow.
elle me montra quelle robe porter. , she showed me which dress to wear.
il est tr s sensible au froid. , he is very sensitive to cold.
je suis d j pr te. , i m already ready.
je suis s rieux. , i m not bluffing.
il est confront de nombreuses difficult s. , he is facing many difficulties.
je cherche mon appareil photo. , i m looking for my camera.
vous tes une sacr e menteuse. , you re such a liar.
je crains de m tre enrhum. , i m afraid i caught a cold.
vous tes nouvelle ici n est ce pas? , you re new here aren t you?
tu es toujours vivant. , you re still alive.
je suis plus beau que toi. , i am more beautiful than you.
je ne suis pas bless e. , i m not hurt.
vous avez parfaitement raison. , you re totally right.
tu es ma meilleure cliente. , you re my best customer.
vous tes tr s gentil tom. , you re very kind tom.
elle a de si beaux yeux. , she s got such lovely eyes.
je suis fatigu des devoirs. , i am tired of homework.
elle est inapte pour le poste. , she s unfit for the job.
vous allez perdre. , you re going to lose.
tu es un excellent professeur. , you re a very good teacher.
elle a deux ans de moins que moi. , she is two years younger than me.
vous tes tir es d affaire. , you re off the hook.
je joue avec mes amis. , i m playing with my friends.
je ne suis pas au bureau aujourd hui. , i m not in the office today.
tu es voyante. , you re psychic.
je suis en train de payer. , i m paying.
vous n tes pas encore adolescente. , you re not a teenager yet.
je ne suis pas laid. , i m not ugly.
il est en train de lire. , he is reading.
je suis un peu curieux. , i m a little curious.
je suis furieux contre vous deux. , i m mad at both of you.
je suis toujours en forme. , i m still in shape.
tu es la femme que j aime. , you re the woman i love.
vous tes plus grande que moi. , you re taller than me.
je suis certain. , i m sure.
vous tes tous fous. , you re all crazy.
je suis vivante. , i m alive.
il est avide de gloire. , he is eager to become famous.
il d sire ardemment s y rendre. , he is eager to go there.
je ne suis pas am re. , i m not bitter.
tu es brillante. , you re bright.
aujourd hui elle va beaucoup mieux qu hier. , she s much better today than yesterday.
tu es ma patronne. , you re my boss.
elle l aimait encore. , she still loved him.
je suis plus belle que toi. , i am more beautiful than you.
on la prend souvent pour sa s ur. , she is often mistaken for her sister.
elle est coupable d un vol. , she is guilty of stealing.
je ne suis pas na ve. , i m not naive.
tu es un monstre. , you re a monster.
je vais me doucher. , i m going to take a shower.
je ne suis qu un chauffeur de taxi. , i m just a taxi driver.
tu es en s ret. , you re quite safe.
vous avez vraiment beaucoup de chance. , you re very fortunate.
a ne me fait pas peur. , i m not scared.
elle est jeune. , she is young.
il est responsable de l chec. , he is to blame for the failure.
elle est un peu timide. , she is a little shy.
elle l a surpris par un baiser. , she surprised him with a kiss.
elle est une championne de football. , she s a soccer champion.
je pars ce soir. , i m departing this evening.
j attends toujours pour ma commande. , i m still waiting for my order.
je suis plus l gante que vous. , i m smarter than you.
je suis soudainement fatigu. , i m suddenly tired.
je ne fais pas partie du s rail. , i m not one of them.
a me rend triste d entendre a. , i am sad to hear it.
je ne vais pas autoriser a. , i m not going to allow that.
j en ai marre de manger du poisson. , i m sick of eating fish.
tu es fatigu non? , you are tired aren t you?
je ne suis pas un saint. , i m not a saint.
vous me faites marrer. , you re amusing.
tu es canadien n est ce pas? , you re canadian right?
elle vous attend la maison. , she s waiting for you at home.
elle est plus sage qu intelligente. , she is more wise than clever.
il est plus intelligent que moi. , he is more clever than me.
je suis galement occup. , i m busy too.
vous tes dure. , you re tough.
je suis content de mon emploi. , i am content with my job.
vous me d cevez beaucoup. , i m very disappointed in you.
j ai trois ans de moins que tom. , i m three years younger than tom is.
je ne suis pas endormi. , i m not sleepy.
il est votre p re. , he s your father.
je suis content de vous revoir. , i m glad to see you back.
tu agis comme un enfant. , you re acting like a child.
je suis enseignant ici. , i m a teacher here.
elle attend famille. , she s pregnant.
je suis un l che. , i m a coward.
je suis au lit. , i m in bed.
je suis contente que cela soit termin. , i m glad that s over.
je suis quasiment pr te. , i m about ready.
elle a tort. , she is wrong.
il n est pas toujours en retard. , he is not always late.
je suis certain qu il viendra. , i m certain that he ll come.
c est mon patron. , he is my boss.
je ne suis pas particuli rement impressionn e. , i m not particularly impressed.
je ne me fais pas de souci excessif. , i m not overly concerned.
il n y a rien en tirer. , he is beyond help.
t es un dr le de gars. , you re a funny guy.
je suis mort de fatigue. , i m dead tired.
j ai d j des ennuis. , i m already in trouble.
elle est toujours habill e en noir. , she is always dressed in black.
il a l habitude des ordinateurs. , he is familiar with computers.
elle n a pas peur des serpents. , she isn t afraid of snakes.
tu me fais de l ombre. , you re blocking my light.
il est sur le chemin de son domicile. , he s on his way home.
j coute de la musique country. , i m listening to country music.
je vis dans une commune. , i m living in a town.
je m ennuie tellement. , i am bored out of my mind.
je suis en cong s pay s. , i m on a paid vacation.
je suis consciente des faits. , i m aware of the facts.
je ne vais pas m asseoir ici. , i m not sitting here.
vous en faites partie n est ce pas? , you re one of them aren t you?
je suis certaine que vous r ussirez. , i m sure you will succeed.
je me tire. , i m going.
je r fl chis d missionner. , i m considering resigning.
tu es arrogante. , you re arrogant.
il se rend au concert. , he is going to the concert.
tu es tellement autoritaire! , you re so bossy.
je suis fatigu maintenant. , i m tired now.
il est encore c libataire. , he s still single.
il est fort rudit. , he is very learned.
je suis fatigu d couter tes plaintes. , i m sick of listening to your complaints.
il n est pas am ricain. , he is not an american.
vous tes un n gociateur avis. , you re one savvy negotiator.
vous avez de gros probl mes. , you re in big trouble.
tu es adorable. , you re adorable.
je suis le professeur. , i m the teacher.
je suis fier de mes enfants. , i m proud of my children.
tu vas tre p re. , you re going to be a father.
il gagne deux fois mon salaire. , he is earning twice my salary.
je suis fi re de moi. , i m proud of myself.
c est une personne sympathique. , he is a friendly person.
elle ne m est pas trang re. , she is no stranger to me.
elle a press un citron pour le th. , she squeezed a lemon for tea.
je suis bien ton ami non? , i am your friend right?
je ne vais pas m en m ler. , i m not going to get involved.
il dort probablement. , he s probably sleeping.
il est plus intelligent que moi. , he is more clever than i am.
je ne gobe pas ton histoire. , i m not buying your story.
tu es sociable. , you re outgoing.
vous tes incroyablement talentueuses. , you re incredibly talented.
je quitte la ville pour quelques jours. , i am leaving town for a few days.
tu es tr s contrari. , you re very upset.
il est plut t optimiste. , he is rather optimistic.
je suis pouvantable en math. , i m terrible at math.
je ne suis pas occup non plus. , i m not busy either.
il n est pas disponible. , he s not available.
je suis perfectionniste. , i m a perfectionist.
il regarde la tv. , he is watching tv.
il est mon meilleur ami. , he s my best friend.
c est le plus g des deux. , he is the older of the two.
il hurle il ne chante pas. , he s screaming not singing.
je suis celui qui prend les d cisions. , i m the one who makes the decisions.
tu as vraiment le sommeil profond. , you re a very sound sleeper.
je ne suis pas l pour me bagarrer. , i m not here to fight.
tu n es plus autoris e parler. , you re no longer allowed to speak.
vous tes tr s courageux. , you are very courageous.
tu n coutes pas hein? , you re not listening are you?
je prie pour tom. , i m praying for tom.
elle est malade depuis mercredi dernier. , she s been ill since last wednesday.
je vais en faire usage demain. , i m going to use it tomorrow.
elle l coute. , she is listening to him.
tu es path tique. , you re pathetic.
elle est assez grande pour voyager toute seule. , she is old enough to travel by herself.
elle m est hostile. , she is hostile to me.
je n ai peur de rien. , i m afraid of nothing.
elle est toubib. , she is a doctor.
il est toujours debout. , he is still standing.
vous tes grossi res. , you re rude.
je suis toujours heureuse. , i m always happy.
vous n tes pas rationnelle. , you re not being rational.
je suis toujours votre amie. , i m still your friend.
tu es pile l heure. , you re right on time.
je ne mange pas a. , i m not eating this.
j ai toujours un peu faim. , i m still a little hungry.
vous tes incroyablement talentueuse. , you re incredibly talented.
il est s r de son succ s. , he is sure to succeed.
vous tes jeune. , you re young.
j attends toujours votre r ponse. , i m still waiting for your answer.
je suis content que a vous rende heureuse. , i m glad that makes you happy.
je ne cours pas le moindre danger. , i m not in any danger.
tu es arrogant. , you re arrogant.
vous tes une voleuse. , you re a thief.
je ne suis pas du tout romantique. , i am not romantic at all.
je suis chanceux. , i m lucky.
je ne fais pas erreur. , i m not mistaken.
tu es dedans jusqu au cou. , you are in over your head.
je ne suis pas bonne en fran ais. , i m not good at french.
vous allez vous bousiller les yeux. , you re going to ruin your eyes.
je me prom ne dans un parc. , i m taking a walk in a park.
je suis tr s triste. , i am very sad.
je rassemble des informations. , i m gathering information.
j en ai fini avec toi. , i m done with you.
vous tes inoubliable. , you re unforgettable.
il est avec ses parents. , he s with his parents.
elle est malade depuis mercredi dernier. , she s been sick since last wednesday.
vous tes tr s solitaire. , you re very lonely.
je vais vous faire une faveur. , i m going to do you a favor.
je fais un bonhomme de neige. , i m making a snowman.
tu me d ois. , i m disappointed in you.
vous devez faire comme je vous dis. , you are to do as i tell you.
je suis touriste. , i m a tourist.
il est en excellente condition physique. , he is in excellent physical condition.
elle est bien plus grande que moi. , she is much taller than me.
je suis juste ton c t. , i m right beside you.
il est ton ami. , he s your friend.
elle est maintenant l h pital. , she s in the hospital now.
je suis un gros buveur de caf. , i m a big coffee drinker.
il est normalement chez lui le soir. , he is generally at home in the evening.
c est un tudiant paresseux. , he is a lazy student.
me voil satisfait. , i m contented.
j en suis quasiment certain. , i m quite sure of that.
il conomise pour pouvoir aller l universit. , he s saving up to go to college.
elle est photographe professionnelle. , she s a professional photographer.
il a peur de faire des erreurs. , he s afraid of making mistakes.
il est derri re moi. , he s after me.
je ne dis pas que c est faux. , i m not saying that s wrong.
vous tes cern. , you re surrounded.
tu es incroyablement stupide. , you re unbelievably stupid.
vous n tes pas la bienvenue ici. , you re not welcome here.
je suis amie avec de nombreux flics. , i m friends with a lot of cops.
je requiers votre aide. , i m asking you for your help.
j attends un client aujourd hui. , i m expecting a customer today.
tu es de retour. , you re back.
tu n es pas aussi petite que moi. , you aren t as short as me.
je suis en bonne sant. , i m healthy.
c est un renard. , she is a fox.
je vais au parc cet apr s midi. , i m going to the park this afternoon.
je suis connu. , i m famous.
il est blind. , he s loaded.
elle porte une broche. , she is wearing a brooch.
je suis crev. , i am tired.
tu es fatigu et moi aussi. , you are tired and so am i.
elle lui montra la photo. , she showed him the photo.
t es givr e! , you re nuts!
tu es trop bruyant. , you re too loud.
je suis plut t surpris d entendre cela. , i m rather surprised to hear it.
tu es suppos e faire a. , you re supposed to do that.
je compte dessus. , i m counting on it.
tu es tr s effront e. , you re very forward.
elle vit au milieu de nulle part. , she is living in the middle of nowhere.
c est un homme taiseux. , he is a quiet man.
tu n es pas en s curit ici. , you re not safe here.
je suis moiti japonaise. , i m half japanese.
il fait de gros progr s en anglais. , he is making great progress in english.
tu es fort effront e. , you re very forward.
je suis aveugle de l il droit. , i m blind in the right eye.
vous tes sec. , you re out of booze.
il est dans la mouise. , he s in hot water.
je suis fatigu! , i m sleepy!
j en suis familier. , i m accustomed to this.
elle s est ras e la t te. , she shaved her head.
je suppose que tu disposes d un plan. , i m assuming you have a plan.
d sol d avoir g ch ton mariage. , i m sorry i ruined your wedding.
tu ne rates pas grand chose. , you re not missing much.
il a eu beaucoup d exp riences malheureuses. , he s had many unhappy experiences.
tu es trop stupide pour vivre. , you re too stupid to live.
il est adorable. , he s adorable.
je suis un bourreau de travail. , i m a hard worker.
je suis assez bon nageur. , i m a pretty good swimmer.
je ne suis plus occup e. , i m not busy anymore.
je suis un tel idiot. , i m such an idiot.
je prends mon apr s midi demain. , i m taking tomorrow afternoon off.
je ne bois pas ce soir. , i m not drinking tonight.
tu fous en l air l atmosph re. , you re spoiling the mood.
vous tes la seule d sormais pour moi. , you re the only one for me now.
il est toujours sympathique envers moi. , he is always friendly to me.
vous tes puissants. , you re powerful.
je vais bien. , i m all right.
il me d sole de voir tom partir. , i m sorry to see tom go.
je ne suis pas grand. , i m not tall.
j ai vraiment sommeil. , i m really sleepy.
je ne suis pas encore pr t. , i m not ready yet.
je suis meilleur que toi. , i am better than you.
elle le surprit par un baiser. , she surprised him with a kiss.
tu fais aller a trop loin. , you re carrying this too far.
je suis normale. , i m normal.
je ne m alarme pas. , i m not alarmed.
elle pr pare le d jeuner. , she is making dinner.
je ne suis pas l ennemi. , i m not the enemy.
je suis tr s fatigu. , i m very tired.
je suis vraiment heureux pour vous. , i m really happy for you.
je te le demande en tant qu amie. , i m asking you as a friend.
je suis an anti. , i m devastated.
il est ind pendant de ses parents. , he is independent of his parents.
moi aussi je suis un d butant. , i m a beginner too.
elle est certaine de venir temps. , she is certain to come on time.
vous tes courtoise. , you re courteous.
tu es rus e. , you re crafty.
tu es enseignant n est ce pas? , you re a teacher right?
je suis trop occup. , i m too busy.
c est mon meilleur ami. , he s my best friend.
elle est obstin e. , she s strong willed.
je suis en cong aujourd hui. , i am off today.
il a encore des doutes. , he is still having doubts.
je pense mes enfants. , i am thinking about my children.
je ne suis pas bless. , i m not hurt.
elle t attend la maison. , she s waiting for you at home.
je suis satisfait de leur repr sentation. , i m pleased with their performance.
je suis certaine que tom souffre. , i m sure tom is suffering.
il est professeur de biologie harvard. , he s a professor of biology at harvard.
je me r jouis de l entendre. , i m glad to hear that.
il ne sait pas jouer en quipe. , he s not a team player.
je suis en train de me concentrer. , i m concentrating.
vous tes tr s bon. , you re very good.
je ne suis pas un drogu. , i m not a drug addict.
je suis pr t. , i m prepared.
elle s assit l en silence. , she sat there in silence.
j en ai marre de l anglais. , i m fed up with english.
je suis plus intelligent que vous. , i m smarter than you.
vous tes malade! , you re sick!
il rumine quelque chose. , he s mumbling something.
il est mon fr re cadet. , he s my younger brother.
je prends mon travail au s rieux. , i m serious about my job.
je cherche un portefeuille. , i m looking for a wallet.
je flippe. , i m freaking out.
t es pas normal. , you re being weird.
elle l a vu conduire sa nouvelle voiture. , she saw him driving his new car.
il joue avec mon chat. , he s playing with my cat.
tu es cingl. , you are crazy.
elle est assez jeune pour tre ta fille. , she s young enough to be your daughter.
vous n tes pas superstitieux par hasard? , you aren t superstitious by any chance?
je ne suis pas un escroc. , i m not a crook.
je ne suis toujours pas satisfait. , i m still not satisfied.
je voyage l ger. , i m traveling light.
je commence d s ce soir. , i am starting this evening.
c est un homme de parole. , he s a man of his word.
je suis moins heureux maintenant. , i m not as happy now.
vous tes des attard s mentaux. , you are morons.
je suis fier de toi. , i m proud of you.
je vais bien. , i m fine.
je dois le rencontrer six heures. , i am to meet him at six.
je suis impliqu e. , i m involved.
il est son bureau. , he is at his desk.
je suis vous. , i m yours.
je suis heureuse que tu aies rencontr tom. , i m glad you met tom.
je suis certain de a. , i m sure of it.
je me r jouis de vous revoir. , i am looking forward to seeing you again.
vous tes jeunes. , you re young.
je suis fier de moi. , i m proud of myself.
elle est super. , she s awesome.
c est un m chant homme. , he is an evil man.
tu n aides pas tom. , you re not helping tom.
il est endormi. , he is asleep.
elle a une peur bleue des chiens. , she s very afraid of dogs.
je suis assez content. , i am rather happy.
c est le secr taire particulier du patron. , he is the boss s private secretary.
tu es nerveusement us. , you re a nervous wreck.
vous tes inqui te n est ce pas? , you re worried aren t you?
elle ne vaut pas mieux qu une voleuse. , she is no better than a thief.
il est tr s sceptique. , he s very skeptical.
je ne suis pas ton ami. , i m not your friend.
tu es tr s habile. , you re very clever.
je suis contente d tre l. , i m glad to be here.
je suis allergique aux fruits de mer. , i m allergic to seafood.
il est en train de d jeuner. , he is having lunch.
je ne vais pas abandonner maintenant. , i m not quitting now.
je suis fascin e. , i m fascinated.
je suis tr s heureux maintenant. , i m very happy now.
tu es l t t. , you re here early.
vous tes puissantes. , you re powerful.
vous tes tr s occup s. , you re very busy.
je suis presque aussi grand que tom. , i m almost as tall as tom.
je suis souvent en difficult. , i m often in trouble.
je suis d sol vraiment. , i m sorry i really am.
je suis invit cette f te. , i m invited to this party.
vous tes soucieuses n est ce pas? , you re worried aren t you?
tu es en train d effrayer les enfants. , you re scaring the kids.
je suis heureux de faire ceci pour toi. , i m happy to do this for you.
je vais changer tout a. , i m going to change all that.
il est intelligent. , he s smart.
vous tes en danger. , you re in danger.
vous tes d sormais une femme. , you re a woman now.
elle est asociale. , she is unsociable.
tu n es pas vir. , you re not fired.
j tudie toujours le fran ais. , i m still studying french.
j ai un peu peur. , i m a little scared.
je suis stup faite. , i m astonished.
il est riche maintenant. , he is well off now.
je suis tr s contrari e. , i m very upset.
j ai d j fini. , i m already done.
vous n tes plus mon ami. , you re not my friend anymore.
vous tes grossi re. , you re rude.
vous tes riches. , you re rich.
elle semble avoir t malade. , she seems to have been ill.
vous tes tellement gentil! , you re so sweet.
je suis sceptique sur son succ s. , i am doubtful of his success.
j ai un peu soif. , i m a little thirsty.
je suis le plus jeune ici. , i m the youngest one here.
je suis affaiblie. , i m wasted.
vous tes tous invit s. , you re all invited.
je suis membre de l quipe. , i m a member of the team.
il est concret. , he s down to earth.
je suis endurante. , i m resilient.
vous tes sympas. , you re nice.
je vous suis reconnaissant pour votre aide. , i am grateful to you for your help.
je suis pr t si tu l es. , i m ready if you are.
je suis gaucher. , i m left handed.
vous tes parano aques. , you re being paranoid.
